listing_id,listing_url,neighborhood,room_type,property_type,capacity_guests,superhost,review_count,star_rating,host_id,host_inscope_listings,lat,lng,dist_to_boundary_m,nearest_other_neighborhood,boundary_uncertain_any_150m,boundary_uncertain_material,rate_2night_total_2026-09-15_17_usd,rate_2night_total_2026-09-25_27_usd,rate_2night_total_2026-12-11_13_usd,checked_date,checker,delisted_by,live_as_of
1209559465572081168,https://www.airbnb.com/rooms/1209559465572081168,Lower Lawrenceville,Entire home/apt,Entire home,6,true,81,4.96,7556262,39,40.4653,-79.9627,285,,no,no,710,,,2026-08-25,claude-draft,,2026-08-31
1161682347638186529,https://www.airbnb.com/rooms/1161682347638186529,Bloomfield,Entire home/apt,Entire rental unit,4,true,32,4.97,119032110,7,40.4628,-79.9435,246,,no,no,441,,,2026-08-25,claude-draft,,2026-08-31
755051683851877110,https://www.airbnb.com/rooms/755051683851877110,Lower Lawrenceville,Entire home/apt,Entire rental unit,2,true,194,4.96,7556262,39,40.4666,-79.9636,240,,no,no,369,,,2026-08-25,claude-draft,,2026-08-31
1580437268596745798,https://www.airbnb.com/rooms/1580437268596745798,Upper Lawrenceville,Entire home/apt,Entire townhouse,5,true,26,5,48353225,1,40.48141,-79.95537,240,,no,no,,,514,2026-08-25,claude-draft,,2026-08-31
40532970,https://www.airbnb.com/rooms/40532970,Bloomfield,Entire home/apt,Entire loft,4,false,20,4.95,9472198,2,40.45884,-79.94797,340,,no,no,739,,,2026-08-25,claude-draft,,2026-08-31
28075888,https://www.airbnb.com/rooms/28075888,Bloomfield,Entire home/apt,Entire home,3,true,220,4.91,48266876,1,40.4634,-79.9417,155,,no,no,423,,,2026-08-25,claude-draft,,2026-08-31
52374471,https://www.airbnb.com/rooms/52374471,Central Lawrenceville,Entire home/apt,Entire townhouse,4,true,243,4.97,7556262,39,40.4716,-79.9603,343,,no,no,,,,2026-08-25,claude-draft,,2026-08-31
826172906760946361,https://www.airbnb.com/rooms/826172906760946361,Bloomfield,Entire home/apt,Entire home,6,true,117,4.94,7556262,39,40.4642,-79.9474,154,,no,no,483,,,2026-08-25,claude-draft,,2026-08-31
1415917621867201352,https://www.airbnb.com/rooms/1415917621867201352,Central Lawrenceville,Entire home/apt,Entire rental unit,8,true,123,4.98,177691474,12,40.477,-79.9572,196,,no,no,613,2173,,2026-08-25,claude-draft,,2026-08-31
1018469470735817641,https://www.airbnb.com/rooms/1018469470735817641,Bloomfield,Entire home/apt,Entire home,4,true,96,4.98,488456817,1,40.4607,-79.9522,233,,no,no,520,,,2026-08-25,claude-draft,,2026-08-31
